Full name,Unique Employee ID,Department,Position,Employee Type,Employee Type 2,Working hours,Hourly rate,Employment start date,Reporting to,Reporting to ID,Separation Reason,Gender,Ethnicity,Age,Termination Date ,Region,Report Date
Jennifer Jones,760241,Tech,Outdoor activities/education manager,Part-time,Temporary,24,36.50932333,2015-03-18,Manager 50,28,Voluntary,Female,Group D,59,2019-01-16,North,2023-09-01
Alexandra Cruz,469422,Accounting,Contractor,Full-time,Permanent,40,48.92643805,2015-03-19,Manager 46,11,Involuntary,Male,Group B,45,2022-04-13,Northwest,2023-09-01
Michael Price,400209,IT,"Engineer, electrical",Full-time,Temporary,40,89.07489599,2015-03-25,Manager 43,39,Involuntary,Male,Group E,65,2021-04-02,North,2023-09-01
James Sims,530401,Tech,"Designer, blown glass/stained glass",Contractor,Temporary,24,59.90756921,2015-03-25,Manager 26,44,Involuntary,Female,Group A,47,2017-04-03,Central,2023-09-01
Cody Walters,613899,Tech,Restaurant manager,Contractor,Permanent,24,52.47041127,2015-03-25,Manager 43,39,Voluntary,Male,Group E,27,2017-05-11,Northwest,2023-09-01
Craig Edwards MD,666456,Marketing,"Production assistant, radio",Full-time,Temporary,40,29.80006111,2015-03-25,Manager 3,14,Voluntary,Male,Group E,36,2021-12-29,South,2023-09-01
James Barnes,672951,Business Management,"Surveyor, hydrographic",Contractor,Permanent,40,60.38820586,2015-03-25,Manager 21,45,Involuntary,Male,Group E,45,2016-03-13,Northwest,2023-09-01
Christopher Jackson,543130,IT,Administrator,Full-time,Temporary,40,49.02966103,2015-03-26,Manager 23,27,Involuntary,Male,Group E,46,2022-08-01,Midwest,2023-09-01
Zachary Roy,704190,Sales,Graphic designer,Full-time,Permanent,40,35.99585251,2015-03-28,Manager 15,43,Voluntary,Female,Group c,30,2017-08-06,East,2023-09-01
Kaylee Smith,110377,Marketing,Geographical information systems officer,Contractor,Permanent,24,28.44252585,2015-03-29,Manager 3,14,Voluntary,Female,Group E,29,2020-03-07,Midwest,2023-09-01
Jennifer Pruitt,307439,Logistics,Exercise physiologist,Part-time,Permanent,24,79.92683344,2015-03-31,Manager 34,10,Involuntary,Male,Group D,29,2020-10-08,East,2023-09-01
Zachary Carroll,363246,HR,"Engineer, petroleum",Full-time,Temporary,40,57.91288765,2015-04-01,Manager 50,28,Involuntary,Male,Group B,61,2018-09-18,Midwest,2023-09-01
Lisa Salazar,110471,Marketing,Fine artist,Part-time,Permanent,24,72.87042926,2015-04-02,Manager 24,22,Involuntary,Female,Group D,30,2017-01-07,Central,2023-09-01
Kayla Welch,377617,HR,Radiation protection practitioner,Part-time,Temporary,24,86.99844516,2015-04-05,Manager 46,11,Involuntary,Male,Group B,34,2016-07-23,Northwest,2023-09-01
Katrina Bauer,661406,Business Management,Data processing manager,Contractor,Temporary,40,43.66471319,2015-04-07,Manager 37,7,Voluntary,Female,Group E,24,2016-07-18,South,2023-09-01
Michael Sandoval,607168,Legal,Garment/textile technologist,Full-time,Temporary,40,65.18862494,2015-04-08,Manager 10,41,Voluntary,Male,Group c,45,2017-05-01,North,2023-09-01
Becky Stevens,512743,HR,"Nurse, adult",Full-time,Temporary,40,32.86281766,2015-04-11,Manager 24,22,Involuntary,Female,Group A,44,2020-10-20,Midwest,2023-09-01
Mary Martinez,880618,Accounting,Academic librarian,Part-time,Temporary,32,79.12384934,2015-04-12,Manager 33,9,Voluntary,Male,Group D,37,2022-06-02,East,2023-09-01
Bryan Jones,336092,Accounting,Pathologist,Contractor,Permanent,24,75.51424812,2015-04-15,Manager 13,37,,Female,Group E,65,,North,2023-09-01
Eugene Gutierrez,751562,Tech,Management consultant,Full-time,Permanent,40,71.3959496,2015-04-15,Manager 46,11,Involuntary,Male,Group D,32,2018-06-30,South,2023-09-01
Terry Hernandez,873792,Accounting,Chartered legal executive (England and Wales),Contractor,Temporary,40,42.85394464,2015-04-15,Manager 3,14,Involuntary,Male,Group B,63,2019-02-06,Midwest,2023-09-01
Joseph Lewis MD,230013,Sales,Ergonomist,Contractor,Temporary,40,84.53291156,2015-04-18,Manager 38,38,Voluntary,Male,Group B,42,2019-01-15,East,2023-09-01
Felicia Trujillo MD,352721,Logistics,Therapeutic radiographer,Contractor,Temporary,40,68.94304536,2015-04-18,Manager 42,15,,Male,Group E,36,,Central,2023-09-01
Tina Garcia,794575,Business Management,Building surveyor,Full-time,Permanent,40,59.52883436,2015-04-18,Manager 28,6,Voluntary,Female,Group A,58,2021-04-20,Midwest,2023-09-01
Jacqueline Jones,879337,Legal,Naval architect,Full-time,Permanent,40,36.79173971,2015-04-18,Manager 47,3,,Female,Group A,23,,East,2023-09-01
Valerie Garza,813029,HR,Museum/gallery conservator,Full-time,Temporary,40,68.43334918,2015-04-21,Manager 33,9,Voluntary,Female,Group E,53,2016-02-03,Central,2023-09-01
Melissa Mcdonald,406345,Logistics,Publishing rights manager,Part-time,Permanent,24,57.54020977,2015-04-22,Manager 30,20,Involuntary,Male,Group B,39,2019-03-05,Midwest,2023-09-01
Tracy Smith,577144,Accounting,Psychiatric nurse,Part-time,Temporary,24,31.01051345,2015-04-22,Manager 20,23,Involuntary,Male,Group B,67,2016-09-04,Northwest,2023-09-01
Jennifer Jensen,725886,Sales,Volunteer coordinator,Full-time,Temporary,40,82.80985483,2015-04-22,Manager 37,7,Voluntary,Male,Group c,29,2019-08-24,North,2023-09-01
Jennifer Martinez,899773,Marketing,Naval architect,Full-time,Permanent,40,32.19242066,2015-04-22,Manager 24,22,Voluntary,Female,Group c,61,2020-02-13,North,2023-09-01
Tyrone Cohen,184422,HR,Banker,Contractor,Temporary,24,54.31328002,2015-04-23,Manager 43,39,Involuntary,Male,Group c,44,2017-09-14,East,2023-09-01
Christopher Anderson,641993,Accounting,Armed forces logistics/support/administrative officer,Contractor,Temporary,40,27.77209657,2015-04-23,Manager 1,19,Involuntary,Male,Group D,43,2019-10-12,East,2023-09-01
Hayley Ford,313729,Production,English as a foreign language teacher,Full-time,Permanent,40,21.81835062,2015-04-25,Manager 49,36,,Male,Group B,62,,Midwest,2023-09-01
Ms. Misty Welch,466279,HR,"Scientist, water quality",Part-time,Temporary,24,87.03641146,2015-04-27,Manager 27,1,Involuntary,Female,Group B,47,2019-08-31,Midwest,2023-09-01
Evan Clay,311555,HR,"Nurse, children's",Contractor,Permanent,32,58.66808802,2015-04-28,Manager 7,31,,Male,Group D,51,,South,2023-09-01
Nicole Moore,929062,Tech,Recruitment consultant,Contractor,Temporary,32,36.72943747,2015-04-28,Manager 6,50,Voluntary,Female,Group c,50,2015-07-08,Midwest,2023-09-01
Brenda Miller,503263,Production,"Nurse, learning disability",Full-time,Permanent,40,39.60045709,2015-04-30,Manager 23,27,Voluntary,Female,Group B,39,2015-09-16,Northwest,2023-09-01
Debra Odonnell,837151,Production,Dance movement psychotherapist,Contractor,Permanent,40,75.00045921,2015-04-30,Manager 11,16,Voluntary,Female,Group c,32,2019-06-02,North,2023-09-01
Jeremy Mcintosh,892748,Tech,Advertising account planner,Part-time,Temporary,32,38.96872183,2015-05-01,Manager 28,6,Involuntary,Male,Group E,66,2020-07-19,East,2023-09-01
Alex Cline,894225,Business Management,"Lecturer, higher education",Contractor,Temporary,40,25.03533823,2015-05-02,Manager 10,41,Involuntary,Male,Group E,34,2015-11-02,Central,2023-09-01
Sean Parks,344373,Business Management,Prison officer,Contractor,Permanent,40,26.97757989,2015-05-03,Manager 38,38,,Female,Group A,31,,Central,2023-09-01
Shirley Martinez,857349,Accounting,Oceanographer,Full-time,Permanent,40,82.78907207,2015-05-05,Manager 32,33,Involuntary,Female,Group A,47,2018-07-09,East,2023-09-01
Dawn Flores,416535,Sales,Chief Operating Officer,Part-time,Permanent,24,31.63783817,2015-05-06,Manager 4,5,Voluntary,Female,Group E,59,2022-05-23,Midwest,2023-09-01
Mr. Robert Sanders,625418,Legal,"Therapist, horticultural",Full-time,Permanent,40,85.24182489,2015-05-06,Manager 25,26,Voluntary,Female,Group B,30,2017-09-23,North,2023-09-01
Michael Morrison,156335,HR,"Engineer, drilling",Part-time,Temporary,32,37.49495155,2015-05-08,Manager 49,36,,Female,Group A,31,,Northwest,2023-09-01
Jesse Galvan,204623,Logistics,"Production assistant, radio",Contractor,Permanent,40,71.29441589,2015-05-10,Manager 38,38,,Female,Group c,50,,Central,2023-09-01
Chris Cooley,260676,Logistics,Tourist information centre manager,Contractor,Temporary,40,83.15350196,2015-05-10,Manager 23,27,Voluntary,Male,Group D,50,2020-10-21,North,2023-09-01
Anthony Meza,579922,Logistics,Agricultural engineer,Contractor,Permanent,24,83.7656317,2015-05-10,Manager 12,24,Voluntary,Female,Group D,63,2020-07-03,North,2023-09-01
Patricia Meza,459913,Marketing,Press photographer,Contractor,Temporary,24,87.71211245,2015-05-12,Manager 6,50,Voluntary,Female,Group B,41,2018-09-13,South,2023-09-01
Kimberly Giles,261385,Sales,Office manager,Part-time,Temporary,32,49.1917493,2015-05-16,Manager 6,50,Voluntary,Male,Group E,63,2020-05-31,Northwest,2023-09-01
Kristy Brown,868983,Accounting,Systems analyst,Full-time,Temporary,40,63.18647203,2015-05-16,Manager 36,32,Voluntary,Female,Group D,30,2019-10-16,Central,2023-09-01
David Bruce,235593,IT,"Engineer, manufacturing systems",Full-time,Permanent,40,22.46574516,2015-05-17,Manager 7,31,Voluntary,Male,Group B,22,2019-09-10,Central,2023-09-01
Jennifer Finley,655845,Logistics,Advertising account executive,Part-time,Permanent,32,71.96612713,2015-05-18,Manager 32,33,Voluntary,Male,Group D,33,2019-08-23,South,2023-09-01
Sherry Vargas,179440,Sales,Music tutor,Contractor,Temporary,40,41.79837778,2015-05-21,Manager 38,38,,Female,Group D,43,,Northwest,2023-09-01
Connie Flores,138075,Logistics,Furniture conservator/restorer,Full-time,Permanent,40,29.36065557,2015-05-22,Manager 31,2,,Male,Group E,63,,East,2023-09-01
Kathleen Brandt,818238,Legal,TEFL teacher,Part-time,Temporary,32,38.33232796,2015-05-24,Manager 34,10,Involuntary,Female,Group D,24,2018-10-12,Northwest,2023-09-01
Rachel Reed,911682,Accounting,Art gallery manager,Contractor,Temporary,24,58.34816646,2015-05-24,Manager 21,45,Voluntary,Female,Group A,65,2015-12-20,East,2023-09-01
Phillip Reyes,518641,Business Management,"Scientist, research (physical sciences)",Full-time,Temporary,40,50.47382994,2015-05-25,Manager 23,27,Voluntary,Female,Group D,33,2019-06-05,East,2023-09-01
Jessica Calderon,222500,HR,"Engineer, chemical",Part-time,Temporary,32,21.06600473,2015-05-27,Manager 14,49,Involuntary,Female,Group D,63,2019-07-22,East,2023-09-01
Frederick Ramirez,434472,Accounting,"Programmer, systems",Full-time,Permanent,40,36.99220834,2015-05-28,Manager 11,16,Involuntary,Male,Group D,58,2017-08-29,Central,2023-09-01
Amber Fox,444222,HR,Further education lecturer,Contractor,Temporary,40,47.90829271,2015-05-28,Manager 46,11,Voluntary,Male,Group A,29,2020-12-10,Midwest,2023-09-01
Eric Howard,144947,Legal,Environmental education officer,Contractor,Temporary,32,72.70809803,2015-05-29,Manager 43,39,,Male,Group c,54,,Northwest,2023-09-01
Eric Allen,967310,Production,Science writer,Part-time,Temporary,24,48.096932,2015-05-30,Manager 33,9,Involuntary,Male,Group D,65,2015-06-05,South,2023-09-01
James Anderson,431082,Sales,"Therapist, music",Full-time,Temporary,40,26.21962288,2015-05-31,Manager 12,24,Involuntary,Male,Group B,38,2015-08-21,Midwest,2023-09-01
Amanda Bonilla,415072,Sales,Outdoor activities/education manager,Part-time,Temporary,24,44.61805576,2015-06-01,Manager 36,32,Voluntary,Female,Group E,26,2021-11-23,Central,2023-09-01
Amy Escobar,756905,Logistics,Chief Marketing Officer,Contractor,Temporary,40,35.87646651,2015-06-02,Manager 25,26,Voluntary,Male,Group E,23,2015-11-09,Northwest,2023-09-01
Denise Webster,633807,Legal,Mental health nurse,Contractor,Permanent,40,31.46556899,2015-06-03,Manager 23,27,Voluntary,Female,Group A,60,2018-08-09,Central,2023-09-01
Antonio Scott,875475,Legal,Publishing copy,Full-time,Temporary,40,62.76770759,2015-06-08,Manager 29,46,Voluntary,Female,Group E,59,2016-06-03,South,2023-09-01
Frank Martin,200547,Accounting,Chiropodist,Part-time,Permanent,32,52.20065415,2015-06-09,Manager 32,33,Involuntary,Female,Group B,62,2019-10-31,South,2023-09-01
Brittney Snyder,503173,IT,Careers adviser,Contractor,Permanent,24,81.15026558,2015-06-09,Manager 3,14,Involuntary,Female,Group D,44,2018-04-04,Midwest,2023-09-01
Benjamin Flores,519729,Sales,Computer games developer,Full-time,Temporary,40,78.57381501,2015-06-14,Manager 11,16,Voluntary,Male,Group E,23,2015-11-28,North,2023-09-01
Lisa Carroll,301500,Tech,Ecologist,Full-time,Permanent,40,76.55047123,2015-06-15,Manager 2,40,Involuntary,Male,Group E,31,2022-09-06,South,2023-09-01
Amy Jennings,926001,Logistics,Computer games developer,Full-time,Permanent,40,23.07466394,2015-06-15,Manager 36,32,Involuntary,Male,Group E,43,2018-02-22,North,2023-09-01
Adam Crawford,512920,Production,Media buyer,Part-time,Permanent,24,65.23278302,2015-06-16,Manager 44,21,Involuntary,Female,Group c,49,2022-08-09,Northwest,2023-09-01
Samantha Short,476800,Production,Water engineer,Contractor,Permanent,24,73.65859303,2015-06-19,Manager 42,15,Voluntary,Female,Group c,23,2020-03-13,East,2023-09-01
Samuel Williams,442588,Marketing,Product manager,Full-time,Temporary,40,72.64705666,2015-06-20,Manager 8,17,Involuntary,Female,Group c,57,2017-11-26,Midwest,2023-09-01
Patrick Turner,670300,Business Management,Operational researcher,Part-time,Temporary,24,23.15008584,2015-06-22,Manager 10,41,Involuntary,Female,Group A,39,2021-02-19,Central,2023-09-01
Russell Moore,338746,IT,Chiropodist,Part-time,Temporary,32,50.36808156,2015-06-24,Manager 34,10,,Male,Group c,64,,Central,2023-09-01
Cindy Chandler,651484,Sales,Conference centre manager,Contractor,Temporary,40,40.16512092,2015-06-24,Manager 15,43,Voluntary,Female,Group B,53,2017-02-05,Northwest,2023-09-01
Michael Salas,214353,Legal,"Teacher, English as a foreign language",Contractor,Permanent,24,28.50273467,2015-06-25,Manager 42,15,Involuntary,Male,Group E,39,2017-08-10,East,2023-09-01
Pamela Allen,596073,Logistics,Research scientist (life sciences),Part-time,Temporary,32,58.49720091,2015-06-26,Manager 2,40,Voluntary,Female,Group c,39,2018-01-05,Midwest,2023-09-01
Justin Aguirre,895129,Legal,Quantity surveyor,Part-time,Temporary,32,33.09216117,2015-06-30,Manager 39,35,Involuntary,Female,Group B,29,2020-03-26,South,2023-09-01
Cindy Noble,905313,Marketing,Investment analyst,Full-time,Permanent,40,25.51326694,2015-06-30,Manager 33,9,Voluntary,Female,Group A,32,2018-01-05,Midwest,2023-09-01
Michele Obrien,719270,Accounting,Call centre manager,Part-time,Permanent,24,44.31455486,2015-07-01,Manager 1,19,Involuntary,Female,Group B,31,2021-11-14,North,2023-09-01
Angela Nixon,135531,IT,"Scientist, forensic",Contractor,Permanent,40,29.27025782,2015-07-02,Manager 19,30,,Female,Group D,37,,Northwest,2023-09-01
Caroline Cook,915465,IT,Hotel manager,Full-time,Permanent,40,41.39547567,2015-07-02,Manager 41,34,Involuntary,Male,Group B,64,2022-05-24,East,2023-09-01
Jacqueline Moody,151317,Production,Ranger/warden,Part-time,Temporary,24,34.18518779,2015-07-05,Manager 35,29,,Female,Group E,63,,Midwest,2023-09-01
Justin Tucker,176809,Business Management,Medical illustrator,Full-time,Temporary,40,83.51530608,2015-07-06,Manager 14,49,,Female,Group B,25,,East,2023-09-01
Steven Murray,776230,Marketing,Manufacturing systems engineer,Part-time,Permanent,24,22.71266112,2015-07-09,Manager 15,43,Involuntary,Male,Group c,56,2021-05-05,Midwest,2023-09-01
Karen Johnson,781043,Tech,Financial manager,Full-time,Permanent,40,31.70701537,2015-07-11,Manager 17,4,Involuntary,Female,Group E,35,2022-02-11,South,2023-09-01
Jeremy Ross,351576,Logistics,"Civil engineer, consulting",Contractor,Permanent,32,88.9866225,2015-07-12,Manager 13,37,,Female,Group B,54,,Central,2023-09-01
Jeffery Scott,564406,Production,Fine artist,Contractor,Temporary,40,24.92922077,2015-07-12,Manager 13,37,Involuntary,Male,Group D,51,2018-08-11,Midwest,2023-09-01
Jeffrey Alexander,944196,Accounting,Herpetologist,Contractor,Temporary,32,80.67375801,2015-07-14,Manager 21,45,Involuntary,Male,Group c,55,2018-10-23,Central,2023-09-01
Robert Garcia,652477,Business Management,Psychiatrist,Full-time,Permanent,40,82.78124782,2015-07-15,Manager 11,16,Voluntary,Female,Group E,58,2021-12-06,Midwest,2023-09-01
Timothy Owens DVM,413391,IT,Actor,Full-time,Permanent,40,31.1405,2015-07-16,Manager 21,45,,Male,Group E,30,,Central,2023-09-01
David Good,831021,IT,"Engineer, drilling",Full-time,Temporary,40,62.21644258,2015-07-16,Manager 30,20,Voluntary,Female,Group D,34,2019-06-23,East,2023-09-01
Mrs. Brandi Trevino,247315,Tech,Legal secretary,Full-time,Permanent,40,54.74479489,2015-07-20,Manager 16,8,Involuntary,Female,Group E,47,2016-06-15,Midwest,2023-09-01
Blake Cruz,188824,IT,Customer service manager,Full-time,Permanent,40,23.19993518,2015-07-21,Manager 41,34,,Female,Group E,36,,East,2023-09-01
Andrea Wright,919478,Sales,Tax inspector,Contractor,Permanent,40,37.25246719,2015-07-22,Manager 36,32,Involuntary,Male,Group D,41,2019-06-16,Northwest,2023-09-01
Mrs. Catherine Nicholson DVM,173107,HR,"Designer, fashion/clothing",Part-time,Temporary,24,29.47938635,2015-07-23,Manager 18,25,,Male,Group c,28,,East,2023-09-01
Dalton Walker,656911,Marketing,"Geneticist, molecular",Full-time,Temporary,40,66.88047062,2015-07-25,Manager 18,25,,Female,Group D,40,,Central,2023-09-01
Carmen Williamson,758159,Logistics,Set designer,Part-time,Permanent,24,41.85254734,2015-07-26,Manager 11,16,Involuntary,Female,Group D,53,2022-01-29,North,2023-09-01
John White,864677,Business Management,Health promotion specialist,Full-time,Temporary,40,48.63246526,2015-07-26,Manager 15,43,Voluntary,Male,Group E,51,2019-06-06,Central,2023-09-01
Catherine Jones,951840,Marketing,"Therapist, sports",Full-time,Permanent,40,43.81159451,2015-07-26,Manager 47,3,Involuntary,Female,Group c,38,2021-02-07,South,2023-09-01
John Wilson,413832,Logistics,Logistics and distribution manager,Part-time,Permanent,32,79.39556773,2015-07-29,Manager 23,27,Involuntary,Male,Group B,63,2017-02-08,North,2023-09-01
Jamie Shaw,622423,Sales,Firefighter,Full-time,Permanent,40,34.95661009,2015-07-29,Manager 30,20,Voluntary,Female,Group D,56,2020-10-09,East,2023-09-01
Michael Bailey,741205,Business Management,Radio broadcast assistant,Part-time,Permanent,24,58.34328399,2015-07-30,Manager 10,41,Involuntary,Male,Group c,28,2020-05-10,South,2023-09-01
Tanner Peterson,188984,Production,Aid worker,Contractor,Temporary,24,52.50134818,2015-08-05,Manager 50,28,Voluntary,Male,Group A,43,2019-02-04,South,2023-09-01
Dawn Kelly,737568,Legal,Museum/gallery curator,Full-time,Permanent,40,23.04137437,2015-08-06,Manager 11,16,,Female,Group B,40,,Central,2023-09-01
Christopher Morales,316804,Marketing,Fisheries officer,Contractor,Temporary,32,41.83937993,2015-08-07,Manager 14,49,,Male,Group c,25,,Northwest,2023-09-01
Henry Campbell,492599,Tech,Nutritional therapist,Part-time,Temporary,32,61.41486227,2015-08-07,Manager 5,13,Involuntary,Female,Group E,44,2022-01-17,East,2023-09-01
Sean French,111546,Legal,Drilling engineer,Contractor,Temporary,40,31.10673964,2015-08-08,Manager 39,35,Voluntary,Female,Group B,43,2022-09-05,South,2023-09-01
Susan Foster,806770,Marketing,Rural practice surveyor,Part-time,Temporary,24,38.73684642,2015-08-10,Manager 28,6,,Male,Group E,29,,East,2023-09-01
Evan Schneider,257873,Logistics,Printmaker,Contractor,Permanent,40,47.00350587,2015-08-11,Manager 23,27,Involuntary,Male,Group E,54,2020-03-12,East,2023-09-01
Colin Baker,634696,IT,"Pilot, airline",Part-time,Permanent,24,25.84584275,2015-08-15,Manager 25,26,Voluntary,Male,Group D,39,2020-08-09,East,2023-09-01
Felicia Burke,530562,HR,Engineering geologist,Part-time,Permanent,24,81.38668548,2015-08-16,Manager 25,26,Involuntary,Male,Group D,55,2018-10-23,South,2023-09-01
Christopher Cowan,273813,Accounting,Holiday representative,Full-time,Permanent,40,25.54878782,2015-08-19,Manager 40,18,,Male,Group E,31,,North,2023-09-01
Natalie Salazar,768392,Accounting,Heritage manager,Contractor,Permanent,32,60.62424035,2015-08-19,Manager 43,39,Voluntary,Male,Group c,39,2017-11-06,East,2023-09-01
Jesus Obrien,672064,Production,"Psychotherapist, dance movement",Full-time,Temporary,40,66.93475432,2015-08-20,Manager 4,5,Involuntary,Female,Group A,53,2019-09-08,Midwest,2023-09-01
Jeffery Adams,441441,Business Management,"Journalist, newspaper",Part-time,Permanent,32,69.08661106,2015-08-21,Manager 1,19,Involuntary,Male,Group B,35,2020-06-23,Midwest,2023-09-01
Richard Miller,525801,Accounting,Maintenance engineer,Full-time,Temporary,40,53.54337682,2015-08-21,Manager 40,18,Voluntary,Female,Group E,33,2022-04-13,North,2023-09-01
Katherine Williams,651324,HR,Equities trader,Contractor,Permanent,40,53.67832717,2015-08-21,Manager 13,37,,Male,Group B,24,,Midwest,2023-09-01
Michael Caldwell,696330,Production,Volunteer coordinator,Full-time,Temporary,40,45.08454297,2015-08-22,Manager 8,17,Involuntary,Female,Group E,32,2017-01-03,Northwest,2023-09-01
Marie Stanton,435827,IT,Landscape architect,Full-time,Temporary,40,38.62179451,2015-08-25,Manager 14,49,Involuntary,Female,Group E,47,2021-01-03,Northwest,2023-09-01
Melissa Hall,963369,Legal,Film/video editor,Contractor,Temporary,40,57.60189426,2015-08-25,Manager 45,12,,Female,Group D,53,,Northwest,2023-09-01
William Hamilton,871155,Tech,"Nurse, children's",Contractor,Temporary,32,24.94496406,2015-08-26,Manager 10,41,Involuntary,Female,Group E,27,2019-06-30,North,2023-09-01
Patricia Holmes,472673,Production,IT sales professional,Full-time,Permanent,40,88.21770024,2015-08-27,Manager 15,43,Voluntary,Female,Group E,61,2021-10-17,Central,2023-09-01
Robert Gonzales,520983,Legal,Information systems manager,Contractor,Permanent,40,58.91120128,2015-08-30,Manager 19,30,Voluntary,Male,Group A,44,2019-02-28,Midwest,2023-09-01
Mary Miller,808429,Accounting,Chiropodist,Full-time,Permanent,40,21.53003519,2015-08-30,Manager 24,22,Voluntary,Female,Group B,29,2020-02-06,Midwest,2023-09-01
David Johnson,132820,Accounting,Publishing rights manager,Contractor,Temporary,40,37.82259442,2015-08-31,Manager 12,24,,Male,Group c,44,,Midwest,2023-09-01
Roberto Lambert,555797,Business Management,Immunologist,Full-time,Temporary,40,59.62117617,2015-09-01,Manager 35,29,Voluntary,Female,Group E,49,2017-04-01,Midwest,2023-09-01
Melissa Mclean,147220,Logistics,Government social research officer,Part-time,Temporary,32,40.62281301,2015-09-03,Manager 43,39,,Male,Group E,23,,Central,2023-09-01
Michelle Rodriguez,600995,HR,Planning and development surveyor,Contractor,Permanent,40,26.44587017,2015-09-04,Manager 7,31,,Female,Group c,22,,Central,2023-09-01
Thomas West,390317,IT,Medical physicist,Full-time,Temporary,40,52.55310658,2015-09-05,Manager 27,1,Voluntary,Male,Group c,54,2022-05-18,Northwest,2023-09-01
Christopher Mayer,470226,Production,Information systems manager,Contractor,Temporary,32,79.47305754,2015-09-07,Manager 17,4,Involuntary,Male,Group c,51,2018-03-21,Northwest,2023-09-01
Zachary Anderson,418550,Accounting,"Engineer, structural",Contractor,Temporary,40,53.41552958,2015-09-09,Manager 16,8,Involuntary,Female,Group E,38,2019-02-15,North,2023-09-01
Michael Ballard,114626,Accounting,Music therapist,Full-time,Temporary,40,49.78365111,2015-09-12,Manager 21,45,Voluntary,Female,Group c,62,2020-04-18,Northwest,2023-09-01
Jasmine Cole,193240,Logistics,"Research officer, trade union",Part-time,Permanent,32,26.05842905,2015-09-12,Manager 16,8,Involuntary,Male,Group A,67,2018-05-25,South,2023-09-01
Thomas Mullins,283248,Marketing,"Engineer, agricultural",Contractor,Permanent,32,89.03256024,2015-09-13,Manager 3,14,Voluntary,Male,Group A,43,2021-03-31,South,2023-09-01
George Smith,464084,IT,Art gallery manager,Full-time,Permanent,40,65.27688995,2015-09-13,Manager 9,48,Voluntary,Male,Group A,28,2020-07-14,South,2023-09-01
Tom Aguilar,327700,Legal,Conference centre manager,Contractor,Temporary,32,30.01501884,2015-09-16,Manager 2,40,,Male,Group c,45,,Midwest,2023-09-01
Thomas Moore,376772,Business Management,"Scientist, forensic",Full-time,Permanent,40,69.135739,2015-09-16,Manager 31,2,Voluntary,Female,Group A,36,2022-07-12,East,2023-09-01
Mrs. Pamela Lee,342490,IT,Sports coach,Part-time,Permanent,24,75.55339448,2015-09-18,Manager 25,26,,Male,Group E,43,,North,2023-09-01
Cameron Cox,353147,Production,Television/film/video producer,Part-time,Permanent,32,83.53178657,2015-09-19,Manager 24,22,,Male,Group B,67,,Midwest,2023-09-01
Madison Wilkinson,766153,Business Management,Clinical research associate,Full-time,Permanent,40,29.06550645,2015-09-22,Manager 24,22,Voluntary,Male,Group D,38,2018-11-07,Northwest,2023-09-01
Joanna Ortiz,229960,Sales,Glass blower/designer,Part-time,Permanent,32,57.22283833,2015-09-23,Manager 49,36,Involuntary,Male,Group B,28,2021-09-03,North,2023-09-01
Charles Watson,647792,HR,Geophysicist/field seismologist,Contractor,Permanent,40,35.82770881,2015-09-25,Manager 15,43,Voluntary,Male,Group c,37,2018-01-11,Northwest,2023-09-01
Anthony Lewis,536831,Logistics,"Therapist, occupational",Contractor,Permanent,40,78.93536406,2015-09-28,Manager 1,19,Involuntary,Male,Group E,61,2017-08-05,Midwest,2023-09-01
Cynthia Anderson,129887,Legal,Quantity surveyor,Full-time,Permanent,40,63.78521061,2015-09-29,Manager 47,3,,Male,Group B,50,,North,2023-09-01
Michael Parrish,705730,Accounting,Banker,Full-time,Permanent,40,84.40575445,2015-09-29,Manager 44,21,Involuntary,Male,Group A,56,2015-12-11,Northwest,2023-09-01
Michele Sandoval,690394,Sales,Lexicographer,Full-time,Temporary,40,78.53786936,2015-09-30,Manager 2,40,,Male,Group D,52,,South,2023-09-01
Eric Simmons,924733,Sales,Forest/woodland manager,Full-time,Permanent,40,46.16261056,2015-10-01,Manager 22,47,Involuntary,Female,Group E,36,2020-09-24,Midwest,2023-09-01
Karen Payne,142397,Production,Clinical biochemist,Part-time,Temporary,32,33.26070043,2015-10-03,Manager 49,36,,Female,Group E,65,,East,2023-09-01
Joseph Sandoval,801916,Legal,Telecommunications researcher,Full-time,Permanent,40,54.98041488,2015-10-03,Manager 48,42,,Female,Group c,47,,East,2023-09-01
Destiny Williams,250487,HR,Occupational therapist,Full-time,Temporary,40,64.72933184,2015-10-06,Manager 4,5,Voluntary,Female,Group B,47,2015-10-25,East,2023-09-01
William Alexander,746164,Business Management,Textile designer,Contractor,Temporary,40,42.44495338,2015-10-07,Manager 2,40,Voluntary,Male,Group c,54,2021-01-28,South,2023-09-01
Kimberly Wilson,651917,Accounting,Landscape architect,Full-time,Permanent,40,52.21747709,2015-10-08,Manager 10,41,Involuntary,Female,Group A,65,2016-08-14,Central,2023-09-01
Erin Watts,350524,Logistics,Tour manager,Part-time,Temporary,32,37.15538451,2015-10-09,Manager 17,4,,Female,Group A,28,,South,2023-09-01
Laura Hurley,303152,IT,Communications engineer,Part-time,Permanent,24,59.66930809,2015-10-10,Manager 46,11,Voluntary,Male,Group A,25,2019-06-02,East,2023-09-01
Tiffany Kirby,442258,Sales,Air broker,Contractor,Permanent,32,45.53602787,2015-10-11,Manager 38,38,Involuntary,Female,Group E,66,2021-03-31,East,2023-09-01
